2008,Адыгея,7.3
2008,Алтайский край,8.3
2008,Амурская область,5.4
2008,Архангельская область,6.8
2008,Астраханская область,7.4
2008,Башкортостан,5.2
2008,Белгородская область,3.9
2008,Брянская область,6.5
2008,Бурятия,12.0
2008,Владимирская область,5.7
2008,Волгоградская область,8.2
2008,Вологодская область,5.6
2008,Воронежская область,5.2
2008,Дагестан,13.2
2008,Еврейская автономная область,9.6
2008,Забайкальский край,14.9
2008,Ивановская область,5.2
2008,Ингушетия,53.3
2008,Иркутская область,8.5
2008,Кабардино-Балкария,17.8
2008,Калининградская область,8.6
2008,Калмыкия,15.8
2008,Калужская область,4.6
2008,Камчатский край,8.6
2008,Карачаево-Черкесия,15.9
2008,Карелия,8.2
2008,Кемеровская область,6.6
2008,Кировская область,7.2
2008,Костромская область,4.9
2008,Краснодарский край,4.7
2008,Красноярский край,6.4
2008,Крым,
2008,Курганская область,9.3
2008,Курская область,6.3
2008,Ленинградская область,7.0
2008,Липецкая область,5.0
2008,Магаданская область,7.2
2008,Марий Эл,9.1
2008,Мордовия,2.7
2008,Москва,0.9
2008,Московская область,2.7
2008,Мурманская область,6.6
2008,Ненецкий автономный округ,7.9
2008,Нижегородская область,5.7
2008,Новгородская область,4.9
2008,Новосибирская область,7.3
2008,Омская область,7.8
2008,Оренбургская область,6.9
2008,Орловская область,6.0
2008,Пензенская область,7.6
2008,Пермский край,8.3
2008,Приморский край,7.4
2008,Псковская область,6.5
2008,Республика Алтай,12.6
2008,Республика Коми,7.1
2008,Республика Тыва,18.6
2008,Ростовская область,6.4
2008,Рязанская область,5.4
2008,Самарская область,4.2
2008,Санкт-Петербург,2.0
2008,Саратовская область,7.8
2008,Сахалинская область,7.4
2008,Свердловская область,4.8
2008,Севастополь,
2008,Северная Осетия,9.8
2008,Смоленская область,7.0
2008,Ставропольский край,7.9
2008,Тамбовская область,9.1
2008,Татарстан,4.9
2008,Тверская область,5.1
2008,Томская область,8.1
2008,Тульская область,3.4
2008,Тюменская область,7.8
2008,Удмуртия,7.8
2008,Ульяновская область,7.0
2008,Хабаровский край,8.6
2008,Хакасия,7.2
2008,Ханты-Мансийский автономный округ,7.8
2008,Челябинская область,4.3
2008,Чечня,36.0
2008,Чувашия,8.0
2008,Чукотский автономный округ,5.2
2008,Якутия,9.0
2008,Ямало-Ненецкий автономный округ,5.9
2008,Ярославская область,5.8
2009,Адыгея,7.7
2009,Алтайский край,12.3
2009,Амурская область,8.3
2009,Архангельская область,7.2
2009,Астраханская область,9.9
2009,Башкортостан,9.2
2009,Белгородская область,4.7
2009,Брянская область,10.7
2009,Бурятия,13.7
2009,Владимирская область,8.7
2009,Волгоградская область,10.3
2009,Вологодская область,7.8
2009,Воронежская область,8.6
2009,Дагестан,13.2
2009,Еврейская автономная область,8.5
2009,Забайкальский край,12.0
2009,Ивановская область,10.8
2009,Ингушетия,53.2
2009,Иркутская область,10.8
2009,Кабардино-Балкария,14.6
2009,Калининградская область,10.9
2009,Калмыкия,16.5
2009,Калужская область,6.1
2009,Камчатский край,7.5
2009,Карачаево-Черкесия,12.0
2009,Карелия,9.6
2009,Кемеровская область,9.7
2009,Кировская область,10.9
2009,Костромская область,8.2
2009,Краснодарский край,7.2
2009,Красноярский край,9.4
2009,Крым,
2009,Курганская область,13.2
2009,Курская область,8.8
2009,Ленинградская область,7.8
2009,Липецкая область,5.6
2009,Магаданская область,6.5
2009,Марий Эл,11.5
2009,Мордовия,5.2
2009,Москва,2.8
2009,Московская область,4.8
2009,Мурманская область,7.5
2009,Ненецкий автономный округ,9.5
2009,Нижегородская область,7.5
2009,Новгородская область,6.1
2009,Новосибирская область,10.0
2009,Омская область,8.5
2009,Оренбургская область,8.8
2009,Орловская область,9.8
2009,Пензенская область,8.1
2009,Пермский край,9.9
2009,Приморский край,9.5
2009,Псковская область,11.0
2009,Республика Алтай,13.6
2009,Республика Коми,11.4
2009,Республика Тыва,21.4
2009,Ростовская область,8.4
2009,Рязанская область,9.0
2009,Самарская область,6.1
2009,Санкт-Петербург,4.1
2009,Саратовская область,8.8
2009,Сахалинская область,9.8
2009,Свердловская область,8.2
2009,Севастополь,
2009,Северная Осетия,10.4
2009,Смоленская область,7.8
2009,Ставропольский край,8.7
2009,Тамбовская область,9.1
2009,Татарстан,8.4
2009,Тверская область,7.7
2009,Томская область,8.7
2009,Тульская область,6.0
2009,Тюменская область,6.9
2009,Удмуртия,8.8
2009,Ульяновская область,8.9
2009,Хабаровский край,10.2
2009,Хакасия,8.6
2009,Ханты-Мансийский автономный округ,6.9
2009,Челябинская область,8.0
2009,Чечня,35.0
2009,Чувашия,11.6
2009,Чукотский автономный округ,4.6
2009,Якутия,8.7
2009,Ямало-Ненецкий автономный округ,4.5
2009,Ярославская область,7.9
2010,Адыгея,9.3
2010,Алтайский край,8.8
